,Temp-int,Press-int,Humid-int,Temp-ext,Press-ext,Humid-ext,TGS20,TGS02,SGP,SpA410,SpB435,SpC460,SpD485,SpE510,SpF535,SpG560,SpH585,SpR610,SpI645,SpS680,SpJ705,SpT730,SpU760,SpV810,SpW860,SpK900,SpL940
10989,13.68,989.0412609911141,53.83379601864506,13.183095468026108,989.5961909360523,53.139426514202114,431.97197797524194,2154.5070055061897,115.0,10.225178718566895,2.0015504360198975,1.5805414915084839,0.8125736713409424,5.904892444610596,10.85372543334961,2.2489089965820312,2.022769514200458,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.7058320641517639,1.928891897201538,0.922635555267334,1.580614686012268,5.748710632324219,2.1261634826660156,0.844294548034668
298,16.95,1002.86,71.14,16.16,1002.86,69.34,519.0,1718.0,111.0,10.225178718566895,3.0023257732391357,0.7902707457542419,0.8125736713409424,5.904892444610596,13.024471282958984,1.799127221107483,1.7046418190002441,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.928891897201538,0.922635555267334,1.580614686012268,5.030121803283691,2.6577043533325195,0.844294548034668
578,19.83,1002.66,71.76,19.58,1002.86,61.75,622.0,2572.0,112.0,18.1780948638916,6.0046515464782715,1.5805414915084839,1.6251473426818848,5.904892444610596,13.024471282958984,3.148472547531128,2.556962728500366,5.877471754111438e-39,1.4288766384124756,0.9708853363990784,0.7058320641517639,3.857783794403076,0.922635555267334,2.370922088623047,8.623065948486328,2.6577043533325195,0.844294548034668
12791,12.792895476502256,983.4689828721083,51.90683618798195,12.36,983.8531919191038,61.16152569183758,358.1313570493233,1910.4209046995488,114.42090469954886,12.168476193745871,2.0015504360198975,1.5805414915084839,1.6251473426818848,5.904892444610596,10.85372543334961,2.698690891265869,2.1308023929595947,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.7058320641517639,1.928891897201538,0.922635555267334,1.580614686012268,6.467299461364746,2.1261634826660156,0.844294548034668
24500,13.693565461793524,991.7915691657456,58.73341380337157,13.134199940444894,992.7195450247341,61.83779013880095,1564.0,3614.595171797706,115.7341380337157,5.877471754111438e-39,1.0007752180099487,5.877471754111438e-39,5.877471754111438e-39,3.3742241859436035,5.7154220966151215,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,2.2674799837018815,0.844294548034668
3751,14.51,984.76,72.67,14.24,984.85,53.58,2495.0,4005.0,114.0,1.136130928993225,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0853725671768188,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,1.928891897201538,0.922635555267334,0.790307343006134,1.4371776580810547,1.0630817413330078,0.844294548034668
22844,13.516322480841371,975.5523232543208,58.26268387595793,12.924374108715165,976.3389038745311,58.20922558189308,846.3896744252411,3035.5367751915865,114.0,5.877471754111438e-39,1.0007752180099487,0.7902707457542419,0.8125736713409424,3.3742241859436035,6.512235641479492,0.4497818052768707,0.31178427487757765,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,3.1892452239990234,1.688589096069336
20062,14.335329123228577,979.9830229194947,53.438922481493556,13.801804013728297,980.2709361312466,39.14388591224594,503.741102174622,2390.971233574958,111.647489049972,6.048470809465713,2.0015504360198975,0.7902707457542419,0.8125736713409424,5.061336517333984,9.768353462219238,1.4949598328813012,1.278481364250183,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.2766800441051958,5.877471754111438e-39,1.0461650183606015,3.33963371439805,2.1261634826660156,0.844294548034668
16696,19.025425011259372,981.450534139517,53.60733859309117,18.373307034544133,981.7263260581161,38.29465860482931,612.1583837198168,2573.211797671524,112.36832325603663,9.0890474319458,2.0015504360198975,0.7902707457542419,0.8125736713409424,5.061336517333984,9.425551044655927,1.799127221107483,1.7046418190002441,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.928891897201538,0.922635555267334,1.580614686012268,5.030121803283691,2.1261634826660156,0.844294548034668
1917,15.39,987.7,71.56,15.05,988.05,63.0,1749.0,3641.0,118.0,2.27226185798645,1.0007752180099487,0.7902707457542419,0.8125736713409424,4.217780113220215,8.68298053741455,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,0.35291603207588196,0.964445948600769,5.877471754111438e-39,0.790307343006134,0.7185888290405273,2.1261634826660156,0.844294548034668
10456,11.26,1001.81,52.58,10.66,1002.01,38.51,1996.0,3557.0,117.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0853725671768188,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0630817413330078,0.844294548034668
21249,13.419057427940707,995.656610186198,55.31922280875251,12.81589082895061,996.3220545855247,48.09655641279213,682.911120134654,2742.4944196297015,114.08887986534599,1.9124947527498932,1.0007752180099487,0.7902707457542419,0.8125736713409424,4.217780113220215,6.512235641479492,0.5522331200240671,0.5232312974790834,5.877471754111438e-39,0.43858655180276523,5.877471754111438e-39,0.35291603207588196,0.21968153063891138,0.21015795783793723,0.790307343006134,1.209629392047731,3.1892452239990234,1.688589096069336
20048,20.867724918944717,983.8810240842179,55.67666202348045,25.02933021427026,983.9295322452022,25.250290605553857,654.5322452020973,2714.9153065026217,110.52338773989513,7.411422749135971,2.0015504360198975,0.7902707457542419,0.8125736713409424,4.217780113220215,8.68298053741455,1.5847557125445786,1.278481364250183,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.469225133889943,5.877471754111438e-39,1.580614686012268,3.5929441452026367,2.1261634826660156,0.844294548034668
